id;lat;lon
268143396;48.8966937;2.2732536
268143397;48.8980371;2.2765075
268143400;48.8999603;2.2819103
268143420;48.9009396;2.2841330
268143428;48.8999682;2.2814065
268143471;48.8988475;2.2788348
268144121;48.8984829;2.2792344
268144124;48.8989546;2.2787161
268144125;48.8986802;2.2790814
268144135;48.8989207;2.2790299
268144166;48.8989786;2.2790276
268144167;48.8991041;2.2787648
268144218;48.8962147;2.2722879
268144232;48.8937621;2.2679741
268144233;48.8951144;2.2706781
268144234;48.8957344;2.2717712
268144235;48.8962234;2.2724845
268144236;48.8964656;2.2728373
268144247;48.8938261;2.2679065
268144354;48.8925072;2.2658263
268144364;48.8922778;2.2688086
268144370;48.8914187;2.2669266
268144414;48.8944258;2.2695334
268144419;48.8931855;2.2707850
268144592;48.8898492;2.2684934
268144697;48.8881663;2.2682178
268144867;48.9020206;2.2864682
268144870;48.9015966;2.2856557
268144872;48.9014748;2.2856674
268144873;48.9004306;2.2864739
268144874;48.8997490;2.2870317
268144895;48.9001723;2.2856451
268144896;48.8978949;2.2927206
268145092;48.9010171;2.2844244
268145093;48.9009923;2.2843965
268145094;48.9009058;2.2843674
268145143;48.9016174;2.2855824
268145293;48.9029923;2.2835239
268145669;48.9028072;2.2783136
268145749;48.8996846;2.2723399
268145750;48.9010135;2.2748510
268145751;48.9000057;2.2725255
268146024;48.9021767;2.2736725
268146043;48.9005952;2.2752480
268146093;48.9001838;2.2739367
268146094;48.9010211;2.2768366
268146095;48.9018332;2.2802337
268146096;48.9022078;2.2816081
268146097;48.9023667;2.2821221
268146099;48.9029121;2.2836058
268146100;48.9041047;2.2859868
268146219;48.9014237;2.2780022
268146232;48.9052231;2.2879420
268146233;48.9049457;2.2873674
268146234;48.9048632;2.2874461
268146235;48.9051445;2.2880384
268146236;48.9060515;2.2898480
268146502;48.9061547;2.2898165
268146532;48.9066657;2.2907869
268146534;48.9058315;2.2889227
268146535;48.9053454;2.2879427
268146536;48.9051435;2.2875104
268146540;48.9052803;2.2878860
268146541;48.9052144;2.2878916
268146542;48.9051106;2.2880870
268146543;48.9051280;2.2882113
268146591;48.9036048;2.2850047
268146659;48.9037918;2.2854704
268146660;48.9047215;2.2874141
268146661;48.9049109;2.2878123
268146662;48.9054976;2.2889762
268146663;48.9057739;2.2894587
268146664;48.9048205;2.2874966
268146665;48.9049602;2.2874226
268146666;48.9049894;2.2872992
268146667;48.9049669;2.2871704
268146778;48.8909645;2.2947873
268146780;48.8915609;2.2941531
268146783;48.8937641;2.2977741
268146806;48.8918050;2.2964179
268146817;48.8910559;2.2973247
268146818;48.8909632;2.2973217
268146819;48.8909162;2.2972622
268146822;48.8897883;2.2943705
268146884;48.8903246;2.2961426
268146906;48.8894982;2.2971422
268146908;48.8891693;2.2971408
268146910;48.8876098;2.2946682
268248979;48.8899674;2.3042478
268249226;48.8876411;2.2957777
268250346;48.8930766;2.3022764
268260022;48.8839675;2.2815693
268260023;48.8855446;2.2802144
268260175;48.8836254;2.2818613
268260176;48.8837563;2.2814193
268337481;48.8881210;2.2975079
268398221;48.8967398;2.2733807
271435379;48.8991102;2.2665532
271435526;48.9019012;2.2692009
271435645;48.9001945;2.2690982
271444954;48.8856600;2.2752900
280840017;48.9036440;2.2715872
281722288;48.8883728;2.2868489
